wavelength,A18,A24,A28,D50,D55,D65,D75,D95,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,FL3.1,FL3.2,FL3.3,FL3.4,FL3.5,FL3.6,FL3.7,FL3.8,FL3.9,FL3.10,FL3.11,FL3.12,FL3.13,FL3.14,FL3.15,L-B1,L-B2,L-B3,L-B4,L-B5,L-BH1,L-RGB1,L-V1,L-V2,L-1,L-2,L-3,L-4,L-5,L-6,L-7,L-8,L-9,L-10,L-11,L-12,L-13,L-14,L-15,L-LIFX-R,L-LIFX-G,L-LIFX-B
651,0.027549,0.0188244,0.0153572,0.0087853,0.00845614,0.00770617,0.00721944,0.00815324,0.00276139,0.00310171,0.00345488,0.00397005,0.00247312,0.00275334,0.00685095,0.00990375,0.0102451,0.00215863,0.00241631,0.00281669,0.00401162,0.00513479,0.00256709,0.0146348,0.0108312,0.0095458,0.00324506,0.00270223,0.00248042,0.00331028,0.00229361,0.0101561,0.00822547,0.00785435,0.00764233,0.00973452,0.00901737,0.00660105,0.00503947,0.0041842,0.00366046,0.00947224,0.0154825,0.0106551,0.011232,0.00592446,0.00984981,0.0127649,0.00862712,0.00766236,0.00711542,0.00766842,0.00877295,0.00508583,0.00386189,0.00386488,0.0138116,0.0106411,0.00776536,0.0137046,0.00229676,0.00372725
652,0.0278581,0.0189463,0.0154218,0.00873596,0.00842353,0.00764513,0.00716656,0.00812876,0.00268971,0.00300897,0.00334633,0.00384454,0.00240741,0.00266762,0.00686619,0.00990019,0.0103562,0.00210707,0.00234379,0.00272111,0.00388448,0.00503022,0.00249783,0.0147301,0.0108384,0.00956201,0.00298642,0.00252291,0.00233228,0.00324806,0.00218198,0.0099605,0.0080622,0.00770645,0.00758424,0.00957303,0.00886833,0.00647478,0.00495064,0.00410128,0.00352182,0.00854894,0.015379,0.0105696,0.011005,0.00574956,0.00961484,0.0126045,0.00842822,0.00753932,0.00699545,0.00748166,0.00859228,0.00495277,0.00376981,0.00376933,0.0136763,0.0105326,0.00768608,0.0122858,0.00227227,0.00372332
653,0.0281694,0.0190683,0.0154863,0.00869538,0.00839485,0.00758508,0.0071191,0.00811379,0.00261988,0.00291861,0.00324054,0.00372231,0.00234341,0.0025844,0.00688439,0.00989452,0.0104703,0.00203685,0.00224657,0.00259385,0.00376067,0.00492452,0.00243024,0.0148139,0.0108439,0.00957525,0.00266325,0.00229543,0.00214275,0.00317379,0.00203651,0.00976524,0.00790029,0.00755813,0.00752505,0.00941164,0.00871913,0.00634896,0.0048624,0.00401977,0.00339345,0.00778166,0.0152686,0.0104803,0.0107832,0.00558168,0.00938572,0.012445,0.008235,0.0074202,0.00687898,0.00730021,0.00841566,0.00482415,0.00368104,0.00367704,0.0135294,0.0104149,0.00760081,0.0105875,0.00221825,0.00359435
654,0.0284829,0.0191905,0.0155507,0.00867476,0.00837563,0.00754227,0.00708759,0.0081185,0.00255205,0.00283082,0.00313811,0.00360402,0.00228092,0.00250355,0.00689964,0.00988694,0.0105593,0.00196082,0.00214403,0.00246109,0.00364023,0.00482259,0.00236443,0.0149049,0.0108507,0.00959056,0.00236388,0.00207821,0.00195879,0.00311157,0.0018904,0.00957082,0.00773963,0.00741045,0.00746395,0.00925059,0.00857009,0.00622373,0.00477412,0.00393915,0.00327596,0.00712448,0.0151526,0.0103879,0.0105717,0.00542306,0.00916704,0.0122915,0.00805137,0.00730692,0.00676847,0.00712759,0.00824704,0.00470204,0.00359708,0.00358954,0.0133716,0.0102884,0.00750965,0.00952121,0.00216429,0.00348934
655,0.0287985,0.0193129,0.015615,0.00868069,0.00836924,0.00752655,0.0070783,0.00814883,0.00248638,0.0027458,0.00303964,0.00349031,0.00221974,0.00242497,0.00690603,0.00987766,0.0105951,0.00189182,0.00205554,0.00234905,0.0035232,0.0047293,0.0023005,0.0150224,0.0108617,0.00961305,0.00217659,0.00192965,0.00182733,0.00308548,0.00177687,0.00937771,0.00758014,0.00726448,0.00740013,0.00909003,0.00842149,0.00609925,0.00468539,0.00385905,0.00316905,0.00654358,0.015032,0.0102925,0.0103733,0.00527479,0.00896135,0.0121467,0.00787945,0.00720043,0.00666519,0.00696573,0.00808861,0.00458757,0.00351868,0.00350763,0.0132131,0.0101626,0.00741724,0.00832629,0.00210845,0.00340918
656,0.0291163,0.0194354,0.0156792,0.0087117,0.00837501,0.00753588,0.00708991,0.00820368,0.00242286,0.00266335,0.00294511,0.00338133,0.00215934,0.00234836,0.00689775,0.00985373,0.010594,0.00182647,0.00197894,0.00225535,0.00340903,0.00464558,0.00223807,0.0152169,0.0108931,0.00966065,0.00207909,0.00183478,0.00173783,0.00313933,0.00168635,0.00918519,0.00742137,0.00711973,0.00733164,0.00893013,0.00827344,0.00597559,0.00459632,0.00377958,0.00306934,0.00602813,0.0149067,0.0101944,0.0101875,0.00513655,0.00876828,0.0120103,0.00771886,0.00710058,0.00656889,0.0068143,0.00794006,0.00448051,0.00344565,0.00343112,0.0130641,0.0100468,0.00732825,0.00733781,0.00204859,0.00331949
657,0.0294363,0.0195582,0.0157433,0.00876806,0.008393,0.00757094,0.00712276,0.00828379,0.00236123,0.00258315,0.00285384,0.00327633,0.00209977,0.00227365,0.00687463,0.00980538,0.0105907,0.00175608,0.00190128,0.00216228,0.00329748,0.00456753,0.00217697,0.0154826,0.0109474,0.00973401,0.00199327,0.00174558,0.00165324,0.00326775,0.00159475,0.00899295,0.00726336,0.00697548,0.00725881,0.00877104,0.008126,0.00585282,0.00450686,0.00370072,0.0029741,0.00556351,0.0147771,0.0100937,0.0100155,0.00500875,0.00858878,0.0118833,0.00757036,0.00700786,0.00648007,0.00667407,0.00780219,0.0043813,0.00337827,0.00336031,0.0129251,0.00994147,0.00724285,0.00672631,0.00200734,0.00321282
658,0.0297585,0.0196811,0.0158072,0.00884312,0.00842096,0.00762417,0.00717121,0.00838156,0.00230132,0.00250524,0.00276545,0.00317459,0.00204173,0.00220105,0.00683925,0.00973757,0.0105852,0.00168558,0.00182573,0.00207304,0.00318904,0.00449282,0.00211758,0.0157538,0.0110075,0.00981226,0.0019237,0.0016709,0.00158076,0.00342102,0.00151345,0.00880203,0.00710675,0.00683243,0.00718422,0.00861271,0.0079795,0.00573109,0.00441746,0.00362263,0.00288329,0.00514615,0.0146432,0.00999024,0.00985124,0.00488798,0.00841756,0.0117603,0.00742915,0.00691913,0.00639541,0.00654064,0.00767054,0.00428711,0.00331445,0.00329314,0.0127959,0.00984635,0.00716093,0.00606874,0.00197846,0.00314697
659,0.0300828,0.0198041,0.0158711,0.00892598,0.00845508,0.00768286,0.00722593,0.00848467,0.00224291,0.00242966,0.00267952,0.00307539,0.00198587,0.00213074,0.00679421,0.00965526,0.0105775,0.00161991,0.00175545,0.00199083,0.00308424,0.00441912,0.00206027,0.0159647,0.0110561,0.00987453,0.00187496,0.0016196,0.00152758,0.00354943,0.00145381,0.00861347,0.00695213,0.00669129,0.00711046,0.00845499,0.00783431,0.00561057,0.00432882,0.00354557,0.00279789,0.00478059,0.014505,0.00988354,0.00968549,0.00476894,0.00824618,0.0116325,0.00728761,0.0068294,0.00630964,0.00640708,0.00753796,0.0041935,0.00325085,0.0032264,0.0126657,0.00975108,0.00707901,0.00565502,0.0019489,0.00314187
660,0.0304094,0.0199274,0.0159348,0.00900878,0.00849241,0.0077382,0.00728025,0.0085845,0.00218583,0.00235647,0.00259565,0.00297803,0.00193288,0.00206293,0.00674209,0.00956343,0.0105678,0.001564,0.0016936,0.00191885,0.00298359,0.00434407,0.00200542,0.0160496,0.0110762,0.00989992,0.0018516,0.00160053,0.00150092,0.00360328,0.00142723,0.00842833,0.00680013,0.00655279,0.00704012,0.00829782,0.00769067,0.00549137,0.00424144,0.00346973,0.00271828,0.00446712,0.0143627,0.00977346,0.00951234,0.00464821,0.00806931,0.0114943,0.00714094,0.00673557,0.00621945,0.00626901,0.00739997,0.00409765,0.00318538,0.00315804,0.0125239,0.00964516,0.00699351,0.00512584,0.00189143,0.00306348
